VTI,01/03/2011,65.6,"1,465,047"
VTI,01/04/2011,65.47,"1,475,177"
VTI,01/05/2011,65.83,"5,170,880"
VTI,01/06/2011,65.68,"4,318,017"
VTI,01/07/2011,65.53,"2,943,950"
VTI,01/10/2011,65.58,"1,829,992"
VTI,01/11/2011,65.84,"1,091,687"
VTI,01/12/2011,66.43,"4,015,816"
VTI,01/13/2011,66.33,"1,468,844"
VTI,01/14/2011,66.76,"1,292,733"
VTI,01/18/2011,66.93,"1,288,867"
VTI,01/19/2011,66.13,"1,567,618"
VTI,01/20/2011,65.93,"1,857,698"
VTI,01/21/2011,66.04,"1,341,909"
VTI,01/24/2011,66.41,"2,149,105"
VTI,01/25/2011,66.45,"1,157,468"
VTI,01/26/2011,66.83,"1,396,077"
VTI,01/27/2011,67.03,"1,096,818"
VTI,01/28/2011,65.83,"2,088,224"
VTI,01/31/2011,66.26,"1,255,165"
VTI,02/01/2011,67.35,"2,355,466"
VTI,02/02/2011,67.27,"1,688,878"
VTI,02/03/2011,67.42,"1,807,116"
VTI,02/04/2011,67.61,"1,343,999"
VTI,02/07/2011,68.06,"1,359,229"
VTI,02/08/2011,68.4,"1,621,861"
VTI,02/09/2011,68.225,"2,110,889"
VTI,02/10/2011,68.3,"1,904,370"
VTI,02/11/2011,68.75,"1,559,793"
VTI,02/14/2011,68.93,"1,554,773"
VTI,02/15/2011,68.71,"1,598,390"
VTI,02/16/2011,69.16,"1,926,244"
VTI,02/17/2011,69.41,"2,054,843"
VTI,02/18/2011,69.54,"1,761,535"
VTI,02/22/2011,68.05,"3,180,435"
VTI,02/23/2011,67.48,"3,430,376"
VTI,02/24/2011,67.49,"4,472,056"
VTI,02/25/2011,68.3375,"3,642,242"
VTI,02/28/2011,68.71,"2,694,939"
VTI,03/01/2011,67.55,"1,429,506"
VTI,03/02/2011,67.69,"1,591,982"
VTI,03/03/2011,68.92,"1,299,380"
VTI,03/04/2011,68.46,"2,724,804"
VTI,03/07/2011,67.84,"1,564,576"
VTI,03/08/2011,68.45,"1,123,780"
VTI,03/09/2011,68.349998,"1,566,591"
VTI,03/10/2011,67.04,"2,239,847"
VTI,03/11/2011,67.49,"2,151,256"
VTI,03/14/2011,67.08,"1,624,668"
VTI,03/15/2011,66.37,"4,797,913"
VTI,03/16/2011,65.22,"3,849,162"
VTI,03/17/2011,65.97,"1,712,544"
VTI,03/18/2011,66.28,"2,606,203"
VTI,03/21/2011,67.32,"1,680,060"
VTI,03/22/2011,67.1,"2,036,862"
VTI,03/23/2011,67.260002,"1,669,337"
VTI,03/24/2011,67.9,"2,420,554"
VTI,03/25/2011,67.86,"1,956,722"
VTI,03/28/2011,67.7,"1,740,430"
VTI,03/29/2011,68.2,"1,354,475"
VTI,03/30/2011,68.71,"1,276,354"
VTI,03/31/2011,68.71,"1,318,605"
VTI,04/01/2011,69.04,"1,707,904"
VTI,04/04/2011,69.099998,"1,092,407"
VTI,04/05/2011,69.14,"1,317,572"
VTI,04/06/2011,69.32,"1,396,940"
VTI,04/07/2011,69.12,"1,507,363"
VTI,04/08/2011,68.83,"1,390,992"
VTI,04/11/2011,68.58,"1,138,496"
VTI,04/12/2011,68,"1,700,090"
VTI,04/13/2011,68.04,"1,521,456"
VTI,04/14/2011,68.08,"1,434,959"
VTI,04/15/2011,68.41,"1,377,927"
VTI,04/18/2011,67.59,"2,325,576"
VTI,04/19/2011,67.98,"1,048,739"
VTI,04/20/2011,68.97,"1,327,751"
VTI,04/21/2011,69.31,"986,347"
VTI,04/25/2011,69.24,"888,823"
VTI,04/26/2011,69.85,"1,363,590"
VTI,04/27/2011,70.3099,"2,148,850"
VTI,04/28/2011,70.52,"2,222,300"
VTI,04/29/2011,70.7,"1,713,179"
VTI,05/02/2011,70.58,"1,506,059"
VTI,05/03/2011,70.19,"1,150,766"
VTI,05/04/2011,69.67,"1,717,479"
VTI,05/05/2011,69.11,"1,513,943"
VTI,05/06/2011,69.41,"1,711,957"
VTI,05/09/2011,69.78,"1,165,523"
VTI,05/10/2011,70.4,"2,354,836"
VTI,05/11/2011,69.68,"1,842,289"
VTI,05/12/2011,70.01,"1,860,730"
VTI,05/13/2011,69.370003,"1,907,745"
VTI,05/16/2011,68.89,"1,654,688"
VTI,05/17/2011,68.83,"2,059,764"
VTI,05/18/2011,69.49,"1,430,565"
VTI,05/19/2011,69.66,"1,347,562"
VTI,05/20/2011,69.14,"1,274,534"
VTI,05/23/2011,68.26,"1,385,185"
VTI,05/24/2011,68.19,"984,684"
VTI,05/25/2011,68.47,"1,159,434"
VTI,05/26/2011,68.88,"1,121,158"
VTI,05/27/2011,69.2,"937,689"
VTI,05/31/2011,69.95,"1,605,972"
VTI,06/01/2011,68.36,"1,760,565"
VTI,06/02/2011,68.23,"1,726,440"
VTI,06/03/2011,67.53,"2,139,750"
VTI,06/06/2011,66.75,"1,893,114"
VTI,06/07/2011,66.72,"1,370,921"
VTI,06/08/2011,66.37,"1,482,478"
VTI,06/09/2011,66.84,"1,047,848"
VTI,06/10/2011,65.89,"1,743,251"
VTI,06/13/2011,65.88,"2,814,591"
VTI,06/14/2011,66.79,"1,577,061"
VTI,06/15/2011,65.6,"3,630,887"
VTI,06/16/2011,65.71,"3,039,980"
VTI,06/17/2011,65.92,"5,544,359"
VTI,06/20/2011,66.23,"3,463,192"
VTI,06/21/2011,67.24,"1,916,606"
VTI,06/22/2011,66.87,"1,948,035"
VTI,06/23/2011,66.76,"2,929,491"
VTI,06/24/2011,65.72,"1,942,126"
VTI,06/27/2011,66.28,"1,570,197"
VTI,06/28/2011,67.2,"1,814,080"
VTI,06/29/2011,67.79,"2,576,767"
VTI,06/30/2011,68.4,"1,973,000"
VTI,07/01/2011,69.38,"2,021,223"
VTI,07/05/2011,69.37,"2,260,185"
VTI,07/06/2011,69.51,"1,753,511"
VTI,07/07/2011,70.26,"1,558,817"
VTI,07/08/2011,69.76,"1,598,015"
